sexe;prenom;nombre
2;WENDY;13518
2;PRISCILLA;13504
2;ALIZÉE;13447
2;CASSANDRE;13387
2;AMÉLIA;13357
2;ALPHONSINE;13355
2;ILONA;13270
1;ZAKARIA;13264
2;ANGELINE;13236
2;SAMIRA;13226
2;FLORINE;13195
2;LYA;13160
2;CHRISTÈLE;13126
1;IMRAN;13114
1;JESSY;13098
2;REBECCA;13083
2;ELINA;13060
2;IRMA;13054
1;LOAN;13036
1;ANGELO;13021
1;OCTAVE;13004
2;INES;12946
1;WILFRIED;12943
1;EWEN;12873
2;ALBANE;12870
1;STEPHAN;12807
1;NABIL;12789
1;KAÏS;12737
2;GARANCE;12688
1;JOCELYN;12656
2;GAËLLE;12591
2;MARIE-ROSE;12562
1;MALIK;12559
2;CLOE;12552
2;MARIE-MADELEINE;12513
2;PHILOMENE;12394
2;LILIA;12351
1;ANDY;12315
1;SOAN;12308
1;MILAN;12298
1;GHISLAIN;12251
2;MEGANE;12250
2;JUDITH;12237
2;AMEL;12216
1;RAYANE;12188
2;LISON;12188
2;FLORE;12171
2;SOLINE;12170
2;ANA;12145
1;MARVIN;12110
1;WALID;12102
1;MAXIMILIEN;12070
1;ADEM;12044
2;MANEL;12039
2;MARIE-ANNE;12028
2;IMANE;11975
1;HENRY;11915
2;PASCALINE;11907
1;OMAR;11880
2;MYA;11878
1;LEONARD;11849
1;ELIOT;11806
2;CELESTINE;11773
2;AICHA;11738
2;SELMA;11738
1;GIOVANNI;11733
1;THEODORE;11664
1;GRÉGORY;11658
1;NOHAM;11643
1;MOISE;11608
1;SOHAN;11584
1;FRANK;11561
2;CYRIELLE;11500
2;MARILYNE;11481
1;ROMÉO;11458
2;KARIMA;11432
1;MOUSSA;11408
1;JOSHUA;11403
1;ULYSSE;11388
2;LARA;11374
1;AYDEN;11341
2;FELICIE;11332
2;FIONA;11292
2;DALILA;11276
1;MELVIN;11234
1;MARIN;11214
1;SAID;11211
2;EDEN;11200
1;BRANDON;11121
2;ALYSSA;11121
2;ARMANDE;11104
1;MOHAMMED;11094
1;NAEL;11073
2;BÉRÉNICE;11057
1;ANAS;11048
1;UGO;11032
2;ROBERTE;11020
2;ARIANE;10998
1;ELIO;10883
1;LUKA;10874
2;NOELIE;10853
2;NICOLLE;10831
2;ROSE-MARIE;10827
1;ISMAËL;10819
2;MARIETTE;10796
1;CELESTIN;10764
1;HIPPOLYTE;10708
1;KILIAN;10706
2;REJANE;10695
2;MELODIE;10684
1;CYPRIEN;10671
1;CARLOS;10665
1;CLOVIS;10650
2;LIVIA;10627
2;SORAYA;10587
2;DORIANE;10586
1;SASHA;10583
2;MAËLLE;10548
1;KARL;10475
2;CLÉA;10467
2;DOLORES;10435
2;LOANE;10421
2;MARIE-ODILE;10387
2;JASMINE;10382
2;ANOUK;10351
2;FATOUMATA;10337
2;MARIAM;10335
2;MARIE-JOSEPHE;10287
2;ERIKA;10285
2;ANTONIA;10260
1;ANIS;10257
2;MARYAM;10242
1;SALIM;10204
2;YAMINA;10195
2;ORIANE;10192
1;ABDELKADER;10168
2;LYSIANE;10137
1;HAKIM;10059
2;GLADYS;10046
1;STEEVE;10040
1;ANATOLE;9996
1;CLAUDIUS;9992
2;CHRYSTELLE;9987
2;LAËTITIA;9985
2;CHIARA;9945
2;ELOÏSE;9935
1;MAHÉ;9887
2;ORLANE;9859
2;TANIA;9854
1;IVAN;9778
2;SALMA;9715
1;SANDRO;9696
2;JENNY;9679
1;ELOI;9675
2;ADELAIDE;9668
2;SIRINE;9651
1;LUIS;9638
2;YVELINE;9635
1;CÔME;9619
2;NANCY;9591
2;NAOMI;9577
1;VIVIEN;9566
2;KHADIJA;9530
2;TESSA;9521
2;MANUELA;9495
2;PAOLA;9470
2;FARAH;9457
1;DAVY;9447
1;TÉO;9424
1;MUSTAPHA;9386
2;DIANA;9386
1;ROMAN;9373
2;ELLA;9354
2;LUCILLE;9350
1;LUKAS;9344
1;NAÏM;9337
2;CAMÉLIA;9334
2;ELINE;9314
2;SYLVAINE;9304
2;ASMA;9295
1;ISSA;9288
1;PIERRE-YVES;9286
1;JONAS;9282
2;DOUNIA;9263
2;ANNY;9262
2;EMILIA;9258
1;JUAN;9220
2;DAPHNÉ;9203
2;ROSINE;9193
2;LUCIA;9181
2;ALYA;9170
1;EMERIC;9167
2;RAPHAELLE;9167
2;ALBERTE;9152
1;ADEL;9117
2;FATIHA;9095
2;ANGELA;9094
2;ELIA;9093
1;BRAHIM;9063
1;MICHAËL;9052
1;KYLLIAN;9040
2;TESS;9005
2;LYANA;9003
2;LENA;8975
1;ROLLAND;8971
2;ALBA;8959
2;CORALINE;8959
2;LUCY;8944
1;ALIX;8934
1;AYMEN;8933
1;EDGAR;8933
2;AMIRA;8924
1;HECTOR;8923
1;JEAN-BERNARD;8916
2;SIDONIE;8890
2;LINDSAY;8886
1;GAUTIER;8884
1;GEOFFROY;8843
2;THÉA;8839
2;MARCELLINE;8803
2;DINA;8761
2;SHANA;8747
1;LEO;8738
2;ENOLA;8723
2;MELINE;8716
2;THAÏS;8714
1;NORDINE;8708
1;MIKE;8690
2;LYLOU;8689
1;FIRMIN;8683
2;HANNA;8672
1;NATHANAEL;8658
1;IDRISS;8645
1;ELLIOT;8584
2;MAILYS;8569
2;FARIDA;8558
2;ZÉLIE;8532
2;MANUELLA;8504
2;SUZETTE;8496
1;GIANNI;8491
1;TIMOTHE;8476
2;MELINDA;8463
2;SANA;8462
1;RAPHAEL;8455
2;JANE;8431
2;AMINATA;8421
1;FABIO;8420
1;ANGEL;8381
1;KLEBER;8369
1;VIRGILE;8316
2;ELEA;8302
2;LUCE;8291
2;RITA;8268
2;AVA;8257
1;MOURAD;8245
1;GUILHEM;8240
1;MARCO;8233
2;MARCELINE;8213
1;CESAR;8207
2;HONORINE;8189
2;NAOMIE;8179
2;ANASTASIA;8173
2;VIOLAINE;8173
2;ANNE-LISE;8161
1;WILFRID;8149
2;MELODY;8121
1;NELSON;8117
1;HONORE;8108
2;MARIE-JOSEE;8106
2;JOANNA;8103
1;PAOLO;8100
2;MAUREEN;8076
1;BRIAN;8061
1;AMBROISE;8050
1;DJIBRIL;8014
1;RODRIGUE;8004
1;ARISTIDE;7993
2;CHRISTIANNE;7958
2;PRISCILLIA;7955
1;ALESSIO;7924
2;PAMELA;7906
2;JOSÉPHINE;7891
2;ORNELLA;7886
1;MALONE;7858
2;MARWA;7849
2;CHRISTINA;7842
2;DANY;7836
1;GILDAS;7830
1;LOÏS;7820
2;LAURETTE;7817
2;FRANCETTE;7802
2;JOY;7797
1;GWENAEL;7741
2;SASHA;7736
1;MARWAN;7710
1;AMEDEE;7702
